Date,GDP_Growth,Unemployment_Rate,Consumer_Confidence
2017-07-31,2.63,4.21,119.1
2017-08-31,2.12,4.45,138.4
2017-09-30,2.86,3.74,139.1
2017-10-31,1.92,4.54,127.4
2017-11-30,3.34,3.24,147.6
2017-12-31,2.32,3.81,131.9
2018-01-31,2.15,3.96,122.6
2018-02-28,2.15,4.24,121.0
2018-03-31,2.12,3.31,125.0
2018-04-30,3.16,3.58,122.7
2018-05-31,2.6,3.81,152.3
2018-06-30,2.42,4.17,139.4
2018-07-31,2.96,4.12,128.4
2018-08-31,3.51,3.95,125.6
2018-09-30,2.18,3.14,138.2
2018-10-31,1.33,4.0,128.0
2018-11-30,3.62,3.08,121.0
2018-12-31,2.43,3.9,124.5
2019-01-31,2.46,3.37,133.6
2019-02-28,1.34,3.99,124.0
2019-03-31,3.01,4.88,126.7
2019-04-30,3.2,3.84,120.3
2019-05-31,3.37,4.26,130.0
2019-06-30,2.84,4.14,129.3
2019-07-31,1.84,3.86,136.2
2019-08-31,2.44,4.45,133.8
2019-09-30,2.06,3.34,128.4
2019-10-31,2.24,4.17,122.8
2019-11-30,2.19,4.53,131.5
2019-12-31,2.15,4.01,143.8
2020-01-31,-1.41,9.19,78.7
2020-02-29,0.05,12.64,78.1
2020-03-31,-4.36,8.35,103.1
2020-04-30,-2.18,5.89,88.4
2020-05-31,-0.8,7.19,99.1
2020-06-30,0.33,8.48,89.6
2020-07-31,-0.34,6.29,75.7
2020-08-31,-2.53,7.02,77.9
2020-09-30,1.66,12.34,84.7
2020-10-31,-1.82,7.62,106.6
2020-11-30,0.61,4.45,97.1
2020-12-31,-4.61,11.52,96.6
2021-01-31,2.18,4.76,111.5
2021-02-28,3.53,6.04,101.2
2021-03-31,4.84,6.61,104.5
2021-04-30,3.07,6.71,129.8
2021-05-31,2.66,5.81,151.0
2021-06-30,3.11,4.37,117.1
2021-07-31,3.25,4.48,120.3
2021-08-31,1.75,4.33,124.1
2021-09-30,1.25,5.9,90.9
2021-10-31,1.27,4.5,118.4
2021-11-30,4.33,5.06,112.0
2021-12-31,3.58,4.13,116.7
2022-01-31,1.8,5.08,113.4
2022-02-28,2.2,5.17,116.9
2022-03-31,4.18,3.39,114.1
2022-04-30,2.24,5.87,124.0
2022-05-31,3.51,4.3,125.6
2022-06-30,1.47,3.26,99.7
2022-07-31,2.97,5.68,79.3
2022-08-31,4.32,5.13,96.2
2022-09-30,3.1,6.09,122.2
2022-10-31,4.1,3.63,110.0
2022-11-30,2.08,6.72,122.7
2022-12-31,5.85,4.53,106.3
2023-01-31,2.86,6.38,110.6
2023-02-28,3.12,5.1,115.5
2023-03-31,2.35,4.86,112.8
2023-04-30,2.99,5.94,136.1
2023-05-31,2.16,4.61,105.1
2023-06-30,3.19,4.46,117.9
2023-07-31,4.1,3.0,120.9
2023-08-31,2.54,5.46,104.2
2023-09-30,4.2,5.91,121.8
2023-10-31,3.79,4.25,107.6
2023-11-30,3.75,4.23,132.3
2023-12-31,2.68,5.5,140.2
2024-01-31,2.29,5.07,127.7
2024-02-29,3.95,4.67,108.8
2024-03-31,2.77,6.45,111.7
2024-04-30,3.08,4.57,123.5
2024-05-31,3.16,4.0,103.4
2024-06-30,1.0,4.17,124.5
2024-07-31,4.32,5.69,121.7
2024-08-31,2.87,5.77,118.4
2024-09-30,4.8,4.9,131.1
2024-10-31,3.87,5.74,90.9
2024-11-30,3.93,4.87,109.7
2024-12-31,1.52,4.99,115.4
